0.000000,-4415.548488,3718.165360,-3435.788167
50.000000,-4216.237562,3645.442259,-3770.833697
100.000000,-4003.143386,3560.802188,-4093.553595
150.000000,-3777.038551,3464.589464,-4402.970782
200.000000,-3538.735838,3357.188309,-4698.170704
250.000000,-3289.083255,3239.020019,-4978.304413
300.000000,-3028.959011,3110.539975,-5242.591046
350.000000,-2759.266491,2972.234535,-5490.319726
400.000000,-2480.929279,2824.617856,-5720.850887
450.000000,-2194.886285,2668.228672,-5933.617053
500.000000,-1902.087020,2503.627084,-6128.123090
550.000000,-1603.487048,2331.391368,-6303.945976
600.000000,-1300.043661,2152.114856,-6460.734121
650.000000,-992.711793,1966.402898,-6598.206276
700.000000,-682.440195,1774.869943,-6716.150089
750.000000,-370.167893,1578.136742,-6814.420327
800.000000,-56.820927,1376.827702,-6892.936841
850.000000,256.690617,1171.568392,-6951.682292
900.000000,569.475279,962.983220,-6990.699687
950.000000,880.662622,751.693271,-7010.089782
1000.000000,1189.405337,538.314325,-7010.008356
1050.000000,1494.881083,323.455043,-6990.663432
1100.000000,1796.294075,107.715324,-6952.312439
1150.000000,2092.876423,-108.315176,-6895.259369
1200.000000,2383.889243,-324.058364,-6819.851944
1250.000000,2668.623568,-538.948873,-6726.478817
1300.000000,2946.401051,-752.435091,-6615.566822
1350.000000,3216.574502,-963.980049,-6487.578300
1400.000000,3478.528262,-1173.062180,-6343.008497
1450.000000,3731.678434,-1379.175970,-6182.383063
1500.000000,3975.472994,-1581.832496,-6006.255644
1550.000000,4209.391779,-1780.559868,-5815.205587
1600.000000,4432.946395,-1974.903587,-5609.835747
1650.000000,4645.680030,-2164.426822,-5390.770413
1700.000000,4847.167207,-2348.710620,-5158.653341
1750.000000,5037.013480,-2527.354051,-4914.145903
1800.000000,5214.855079,-2699.974308,-4657.925343
1850.000000,5380.358530,-2866.206755,-4390.683143
1900.000000,5533.220240,-3025.704942,-4113.123487
1950.000000,5673.166072,-3178.140589,-3825.961832
2000.000000,5799.950909,-3323.203541,-3529.923568
2050.000000,5913.358213,-3460.601710,-3225.742767
2100.000000,6013.199592,-3590.061001,-2914.161014
2150.000000,6099.314371,-3711.325227,-2595.926323
2200.000000,6171.569183,-3824.156019,-2271.792114
2250.000000,6229.857568,-3928.332744,-1942.516261
2300.000000,6274.099603,-4023.652415,-1608.860196
2350.000000,6304.241548,-4109.929612,-1271.588068
2400.000000,6320.255521,-4186.996413,-931.465944
2450.000000,6322.139202,-4254.702335,-589.261053
2500.000000,6309.915561,-4312.914289,-245.741059
2550.000000,6283.632623,-4361.516550,98.326637
2600.000000,6243.363255,-4400.410744,442.175574
2650.000000,6189.204991,-4429.515858,785.040897
2700.000000,6121.279887,-4448.768259,1126.160015
2750.000000,6039.734397,-4458.121745,1464.773253
2800.000000,5944.739290,-4457.547611,1800.124517
2850.000000,5836.489585,-4447.034734,2131.461960
2900.000000,5715.204518,-4426.589687,2458.038677
2950.000000,5581.127527,-4396.236863,2779.113411
3000.000000,5434.526265,-4356.018631,3093.951295
3050.000000,5275.692628,-4305.995502,3401.824630
3100.000000,5104.942797,-4246.246320,3702.013701
3150.000000,4922.617294,-4176.868468,3993.807639
3200.000000,4729.081045,-4097.978088,4276.505337
3250.000000,4524.723450,-4009.710318,4549.416430
3300.000000,4309.958441,-3912.219535,4811.862324
3350.000000,4085.224543,-3805.679613,5063.177310
3400.000000,3850.984919,-3690.284177,5302.709744
3450.000000,3607.727387,-3566.246869,5529.823303
3500.000000,3355.964420,-3433.801601,5743.898332
3550.000000,3096.233103,-3293.202806,5944.333271
3600.000000,2829.095047,-3144.725671,6130.546176
3650.000000,2555.136254,-2988.666360,6301.976333
3700.000000,2274.966911,-2825.342200,6458.085962
3750.000000,1989.221115,-2655.091844,6598.362023
3800.000000,1698.556514,-2478.275387,6722.318116
3850.000000,1403.653842,-2295.274437,6829.496474
3900.000000,1105.216361,-2106.492128,6919.470046
3950.000000,803.969162,-1912.353066,6991.844672
4000.000000,500.658350,-1713.303195,7046.261339
4050.000000,196.050064,-1509.809576,7082.398502
4100.000000,-109.070648,-1302.360075,7099.974481
4150.000000,-413.901142,-1091.462923,7098.749898
4200.000000,-717.622667,-877.646176,7078.530156
4250.000000,-1019.402058,-661.457022,7039.167930
4300.000000,-1318.393635,-443.460954,6980.565662
4350.000000,-1613.741322,-224.240786,6902.678023
4400.000000,-1904.580989,-4.395499,6805.514327
4450.000000,-2190.043035,215.461085,6689.140862
4500.000000,-2469.255188,434.701818,6553.683108
4550.000000,-2741.345561,652.687925,6399.327802
4600.000000,-3005.445918,868.770908,6226.324822
4650.000000,-3260.695181,1082.294637,6034.988849
4700.000000,-3506.243138,1292.597646,5825.700753
4750.000000,-3741.254350,1499.015627,5598.908687
4800.000000,-3964.912236,1700.884100,5355.128823
4850.000000,-4176.423297,1897.541272,5094.945707
4900.000000,-4375.021469,2088.331057,4819.012178
4950.000000,-4559.972546,2272.606234,4528.048837
5000.000000,-4730.578646,2449.731739,4222.843007
5050.000000,-4886.182667,2619.088044,3904.247180
5100.000000,-5026.172694,2780.074608,3573.176917
5150.000000,-5149.986278,2932.113356,3230.608189
5200.000000,-5257.114567,3074.652151,2877.574154
5250.000000,-5347.106199,3207.168225,2515.161374
5300.000000,-5419.570923,3329.171520,2144.505486
5350.000000,-5474.182875,3440.207891,1766.786340
5400.000000,-5510.683470,3539.862149,1383.222658
5450.000000,-5528.883847,3627.760870,995.066227
5500.000000,-5528.666837,3703.574960,603.595709
5550.000000,-5509.988401,3767.021916,210.110110
